report_id,entity_type,entity_value,analytical_relevance
TRN01001,ipv4,198.51.100.122,Possible C2 or scanning source/destination address
TRN01001,domain,node-1001-sync.example,Possible C2/phishing infrastructure domain
TRN01001,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN01005,ipv4,198.51.100.126,Possible C2 or scanning source/destination address
TRN01005,domain,node-1005-sync.example,Possible C2/phishing infrastructure domain
TRN01005,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN01006,ipv4,198.51.100.127,Possible C2 or scanning source/destination address
TRN01006,domain,node-1006-sync.example,Possible C2/phishing infrastructure domain
TRN01009,ipv4,198.51.100.130,Possible C2 or scanning source/destination address
TRN01009,domain,node-1009-sync.example,Possible C2/phishing infrastructure domain
TRN01020,ipv4,198.51.100.141,Possible C2 or scanning source/destination address
TRN01020,domain,node-1020-sync.example,Possible C2/phishing infrastructure domain
TRN01028,ipv4,198.51.100.149,Possible C2 or scanning source/destination address
TRN01028,domain,node-1028-sync.example,Possible C2/phishing infrastructure domain
TRN01028,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN01032,ipv4,198.51.100.153,Possible C2 or scanning source/destination address
TRN01032,domain,node-1032-sync.example,Possible C2/phishing infrastructure domain
TRN01038,ipv4,198.51.100.159,Possible C2 or scanning source/destination address
TRN01038,domain,node-1038-sync.example,Possible C2/phishing infrastructure domain
TRN01043,ipv4,198.51.100.164,Possible C2 or scanning source/destination address
TRN01043,domain,node-1043-sync.example,Possible C2/phishing infrastructure domain
TRN01043,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN01044,ipv4,198.51.100.165,Possible C2 or scanning source/destination address
TRN01044,domain,node-1044-sync.example,Possible C2/phishing infrastructure domain
TRN01047,ipv4,198.51.100.168,Possible C2 or scanning source/destination address
TRN01047,domain,node-1047-sync.example,Possible C2/phishing infrastructure domain
TRN01047,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN01047,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN01048,ipv4,198.51.100.169,Possible C2 or scanning source/destination address
TRN01048,domain,node-1048-sync.example,Possible C2/phishing infrastructure domain
TRN01048,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN01049,ipv4,198.51.100.170,Possible C2 or scanning source/destination address
TRN01049,domain,node-1049-sync.example,Possible C2/phishing infrastructure domain
TRN01058,ipv4,198.51.100.179,Possible C2 or scanning source/destination address
TRN01058,domain,node-1058-sync.example,Possible C2/phishing infrastructure domain
TRN01059,ipv4,198.51.100.180,Possible C2 or scanning source/destination address
TRN01059,domain,node-1059-sync.example,Possible C2/phishing infrastructure domain
TRN01063,ipv4,198.51.100.184,Possible C2 or scanning source/destination address
TRN01063,domain,node-1063-sync.example,Possible C2/phishing infrastructure domain
TRN01064,ipv4,198.51.100.185,Possible C2 or scanning source/destination address
TRN01064,domain,node-1064-sync.example,Possible C2/phishing infrastructure domain
TRN01064,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN01070,ipv4,198.51.100.191,Possible C2 or scanning source/destination address
TRN01070,domain,node-1070-sync.example,Possible C2/phishing infrastructure domain
TRN01072,ipv4,198.51.100.193,Possible C2 or scanning source/destination address
TRN01072,domain,node-1072-sync.example,Possible C2/phishing infrastructure domain
TRN01074,ipv4,198.51.100.195,Possible C2 or scanning source/destination address
TRN01074,domain,node-1074-sync.example,Possible C2/phishing infrastructure domain
TRN01076,ipv4,198.51.100.197,Possible C2 or scanning source/destination address
TRN01076,domain,node-1076-sync.example,Possible C2/phishing infrastructure domain
TRN01076,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN01081,ipv4,198.51.100.202,Possible C2 or scanning source/destination address
TRN01081,domain,node-1081-sync.example,Possible C2/phishing infrastructure domain
TRN01084,ipv4,198.51.100.205,Possible C2 or scanning source/destination address
TRN01084,domain,node-1084-sync.example,Possible C2/phishing infrastructure domain
TRN01088,ipv4,198.51.100.209,Possible C2 or scanning source/destination address
TRN01088,domain,node-1088-sync.example,Possible C2/phishing infrastructure domain
TRN01089,ipv4,198.51.100.210,Possible C2 or scanning source/destination address
TRN01089,domain,node-1089-sync.example,Possible C2/phishing infrastructure domain
TRN01089,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN01091,ipv4,198.51.100.212,Possible C2 or scanning source/destination address
TRN01091,domain,node-1091-sync.example,Possible C2/phishing infrastructure domain
TRN01091,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN01093,ipv4,198.51.100.214,Possible C2 or scanning source/destination address
TRN01093,domain,node-1093-sync.example,Possible C2/phishing infrastructure domain
TRN01095,ipv4,198.51.100.216,Possible C2 or scanning source/destination address
TRN01095,domain,node-1095-sync.example,Possible C2/phishing infrastructure domain
TRN01097,ipv4,198.51.100.218,Possible C2 or scanning source/destination address
TRN01097,domain,node-1097-sync.example,Possible C2/phishing infrastructure domain
TRN01099,ipv4,198.51.100.220,Possible C2 or scanning source/destination address
TRN01099,domain,node-1099-sync.example,Possible C2/phishing infrastructure domain
TRN01099,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN01100,ipv4,198.51.100.1,Possible C2 or scanning source/destination address
TRN01100,domain,node-1100-sync.example,Possible C2/phishing infrastructure domain
TRN01100,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN01101,ipv4,198.51.100.2,Possible C2 or scanning source/destination address
TRN01101,domain,node-1101-sync.example,Possible C2/phishing infrastructure domain
TRN01103,ipv4,198.51.100.4,Possible C2 or scanning source/destination address
TRN01103,domain,node-1103-sync.example,Possible C2/phishing infrastructure domain
TRN01106,ipv4,198.51.100.7,Possible C2 or scanning source/destination address
TRN01106,domain,node-1106-sync.example,Possible C2/phishing infrastructure domain
TRN01108,ipv4,198.51.100.9,Possible C2 or scanning source/destination address
TRN01108,domain,node-1108-sync.example,Possible C2/phishing infrastructure domain
TRN01109,ipv4,198.51.100.10,Possible C2 or scanning source/destination address
TRN01109,domain,node-1109-sync.example,Possible C2/phishing infrastructure domain
TRN01109,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN01111,ipv4,198.51.100.12,Possible C2 or scanning source/destination address
TRN01111,domain,node-1111-sync.example,Possible C2/phishing infrastructure domain
TRN01113,ipv4,198.51.100.14,Possible C2 or scanning source/destination address
TRN01113,domain,node-1113-sync.example,Possible C2/phishing infrastructure domain
TRN01114,ipv4,198.51.100.15,Possible C2 or scanning source/destination address
TRN01114,domain,node-1114-sync.example,Possible C2/phishing infrastructure domain
TRN01114,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN01115,ipv4,198.51.100.16,Possible C2 or scanning source/destination address
TRN01115,domain,node-1115-sync.example,Possible C2/phishing infrastructure domain
TRN01116,ipv4,198.51.100.17,Possible C2 or scanning source/destination address
TRN01116,domain,node-1116-sync.example,Possible C2/phishing infrastructure domain
TRN01117,ipv4,198.51.100.18,Possible C2 or scanning source/destination address
TRN01117,domain,node-1117-sync.example,Possible C2/phishing infrastructure domain
TRN01120,ipv4,198.51.100.21,Possible C2 or scanning source/destination address
TRN01120,domain,node-1120-sync.example,Possible C2/phishing infrastructure domain
TRN01120,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN01120,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN01127,ipv4,198.51.100.28,Possible C2 or scanning source/destination address
TRN01127,domain,node-1127-sync.example,Possible C2/phishing infrastructure domain
TRN01127,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN01132,ipv4,198.51.100.33,Possible C2 or scanning source/destination address
TRN01132,domain,node-1132-sync.example,Possible C2/phishing infrastructure domain
TRN01134,ipv4,198.51.100.35,Possible C2 or scanning source/destination address
TRN01134,domain,node-1134-sync.example,Possible C2/phishing infrastructure domain
TRN01138,ipv4,198.51.100.39,Possible C2 or scanning source/destination address
TRN01138,domain,node-1138-sync.example,Possible C2/phishing infrastructure domain
TRN01139,ipv4,198.51.100.40,Possible C2 or scanning source/destination address
TRN01139,domain,node-1139-sync.example,Possible C2/phishing infrastructure domain
TRN01140,ipv4,198.51.100.41,Possible C2 or scanning source/destination address
TRN01140,domain,node-1140-sync.example,Possible C2/phishing infrastructure domain
TRN01147,ipv4,198.51.100.48,Possible C2 or scanning source/destination address
TRN01147,domain,node-1147-sync.example,Possible C2/phishing infrastructure domain
TRN01148,ipv4,198.51.100.49,Possible C2 or scanning source/destination address
TRN01148,domain,node-1148-sync.example,Possible C2/phishing infrastructure domain
TRN01148,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN01150,ipv4,198.51.100.51,Possible C2 or scanning source/destination address
TRN01150,domain,node-1150-sync.example,Possible C2/phishing infrastructure domain
TRN01150,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN01151,ipv4,198.51.100.52,Possible C2 or scanning source/destination address
TRN01151,domain,node-1151-sync.example,Possible C2/phishing infrastructure domain
TRN01153,ipv4,198.51.100.54,Possible C2 or scanning source/destination address
TRN01153,domain,node-1153-sync.example,Possible C2/phishing infrastructure domain
TRN01154,ipv4,198.51.100.55,Possible C2 or scanning source/destination address
TRN01154,domain,node-1154-sync.example,Possible C2/phishing infrastructure domain
TRN01156,ipv4,198.51.100.57,Possible C2 or scanning source/destination address
TRN01156,domain,node-1156-sync.example,Possible C2/phishing infrastructure domain
TRN01161,ipv4,198.51.100.62,Possible C2 or scanning source/destination address
TRN01161,domain,node-1161-sync.example,Possible C2/phishing infrastructure domain
TRN01161,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN01162,ipv4,198.51.100.63,Possible C2 or scanning source/destination address
TRN01162,domain,node-1162-sync.example,Possible C2/phishing infrastructure domain
TRN01162,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN01167,ipv4,198.51.100.68,Possible C2 or scanning source/destination address
TRN01167,domain,node-1167-sync.example,Possible C2/phishing infrastructure domain
TRN01167,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN01168,ipv4,198.51.100.69,Possible C2 or scanning source/destination address
TRN01168,domain,node-1168-sync.example,Possible C2/phishing infrastructure domain
TRN01168,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN01169,ipv4,198.51.100.70,Possible C2 or scanning source/destination address
TRN01169,domain,node-1169-sync.example,Possible C2/phishing infrastructure domain
TRN01170,ipv4,198.51.100.71,Possible C2 or scanning source/destination address
TRN01170,domain,node-1170-sync.example,Possible C2/phishing infrastructure domain
TRN01172,ipv4,198.51.100.73,Possible C2 or scanning source/destination address
TRN01172,domain,node-1172-sync.example,Possible C2/phishing infrastructure domain
TRN01173,ipv4,198.51.100.74,Possible C2 or scanning source/destination address
TRN01173,domain,node-1173-sync.example,Possible C2/phishing infrastructure domain
TRN01174,ipv4,198.51.100.75,Possible C2 or scanning source/destination address
TRN01174,domain,node-1174-sync.example,Possible C2/phishing infrastructure domain
TRN01175,ipv4,198.51.100.76,Possible C2 or scanning source/destination address
TRN01175,domain,node-1175-sync.example,Possible C2/phishing infrastructure domain
TRN01175,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN01177,ipv4,198.51.100.78,Possible C2 or scanning source/destination address
TRN01177,domain,node-1177-sync.example,Possible C2/phishing infrastructure domain
TRN01177,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN01177,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN01183,ipv4,198.51.100.84,Possible C2 or scanning source/destination address
TRN01183,domain,node-1183-sync.example,Possible C2/phishing infrastructure domain
TRN01183,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN01183,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN01185,ipv4,198.51.100.86,Possible C2 or scanning source/destination address
TRN01185,domain,node-1185-sync.example,Possible C2/phishing infrastructure domain
TRN01185,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN01186,ipv4,198.51.100.87,Possible C2 or scanning source/destination address
TRN01186,domain,node-1186-sync.example,Possible C2/phishing infrastructure domain
TRN01187,ipv4,198.51.100.88,Possible C2 or scanning source/destination address
TRN01187,domain,node-1187-sync.example,Possible C2/phishing infrastructure domain
TRN01187,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN01193,ipv4,198.51.100.94,Possible C2 or scanning source/destination address
TRN01193,domain,node-1193-sync.example,Possible C2/phishing infrastructure domain
TRN01193,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN01195,ipv4,198.51.100.96,Possible C2 or scanning source/destination address
TRN01195,domain,node-1195-sync.example,Possible C2/phishing infrastructure domain
TRN01197,ipv4,198.51.100.98,Possible C2 or scanning source/destination address
TRN01197,domain,node-1197-sync.example,Possible C2/phishing infrastructure domain
TRN01200,ipv4,198.51.100.101,Possible C2 or scanning source/destination address
TRN01200,domain,node-1200-sync.example,Possible C2/phishing infrastructure domain
TRN01204,ipv4,198.51.100.105,Possible C2 or scanning source/destination address
TRN01204,domain,node-1204-sync.example,Possible C2/phishing infrastructure domain
TRN01204,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN01205,ipv4,198.51.100.106,Possible C2 or scanning source/destination address
TRN01205,domain,node-1205-sync.example,Possible C2/phishing infrastructure domain
TRN01205,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN01211,ipv4,198.51.100.112,Possible C2 or scanning source/destination address
TRN01211,domain,node-1211-sync.example,Possible C2/phishing infrastructure domain
TRN01212,ipv4,198.51.100.113,Possible C2 or scanning source/destination address
TRN01212,domain,node-1212-sync.example,Possible C2/phishing infrastructure domain
TRN01215,ipv4,198.51.100.116,Possible C2 or scanning source/destination address
TRN01215,domain,node-1215-sync.example,Possible C2/phishing infrastructure domain
TRN01215,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN01219,ipv4,198.51.100.120,Possible C2 or scanning source/destination address
TRN01219,domain,node-1219-sync.example,Possible C2/phishing infrastructure domain
TRN01220,ipv4,198.51.100.121,Possible C2 or scanning source/destination address
TRN01220,domain,node-1220-sync.example,Possible C2/phishing infrastructure domain
TRN01222,ipv4,198.51.100.123,Possible C2 or scanning source/destination address
TRN01222,domain,node-1222-sync.example,Possible C2/phishing infrastructure domain
TRN01229,ipv4,198.51.100.130,Possible C2 or scanning source/destination address
TRN01229,domain,node-1229-sync.example,Possible C2/phishing infrastructure domain
TRN01229,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN01230,ipv4,198.51.100.131,Possible C2 or scanning source/destination address
TRN01230,domain,node-1230-sync.example,Possible C2/phishing infrastructure domain
TRN01231,ipv4,198.51.100.132,Possible C2 or scanning source/destination address
TRN01231,domain,node-1231-sync.example,Possible C2/phishing infrastructure domain
TRN01231,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN01232,ipv4,198.51.100.133,Possible C2 or scanning source/destination address
TRN01232,domain,node-1232-sync.example,Possible C2/phishing infrastructure domain
TRN01234,ipv4,198.51.100.135,Possible C2 or scanning source/destination address
TRN01234,domain,node-1234-sync.example,Possible C2/phishing infrastructure domain
TRN01242,ipv4,198.51.100.143,Possible C2 or scanning source/destination address
TRN01242,domain,node-1242-sync.example,Possible C2/phishing infrastructure domain
TRN01244,ipv4,198.51.100.145,Possible C2 or scanning source/destination address
TRN01244,domain,node-1244-sync.example,Possible C2/phishing infrastructure domain
TRN01244,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN01245,ipv4,198.51.100.146,Possible C2 or scanning source/destination address
TRN01245,domain,node-1245-sync.example,Possible C2/phishing infrastructure domain
TRN01246,ipv4,198.51.100.147,Possible C2 or scanning source/destination address
TRN01246,domain,node-1246-sync.example,Possible C2/phishing infrastructure domain
TRN01246,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN01248,ipv4,198.51.100.149,Possible C2 or scanning source/destination address
TRN01248,domain,node-1248-sync.example,Possible C2/phishing infrastructure domain
TRN01251,ipv4,198.51.100.152,Possible C2 or scanning source/destination address
TRN01251,domain,node-1251-sync.example,Possible C2/phishing infrastructure domain
TRN01252,ipv4,198.51.100.153,Possible C2 or scanning source/destination address
TRN01252,domain,node-1252-sync.example,Possible C2/phishing infrastructure domain
TRN01256,ipv4,198.51.100.157,Possible C2 or scanning source/destination address
TRN01256,domain,node-1256-sync.example,Possible C2/phishing infrastructure domain
TRN01256,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN01260,ipv4,198.51.100.161,Possible C2 or scanning source/destination address
TRN01260,domain,node-1260-sync.example,Possible C2/phishing infrastructure domain
TRN01261,ipv4,198.51.100.162,Possible C2 or scanning source/destination address
TRN01261,domain,node-1261-sync.example,Possible C2/phishing infrastructure domain
TRN01270,ipv4,198.51.100.171,Possible C2 or scanning source/destination address
TRN01270,domain,node-1270-sync.example,Possible C2/phishing infrastructure domain
TRN01273,ipv4,198.51.100.174,Possible C2 or scanning source/destination address
TRN01273,domain,node-1273-sync.example,Possible C2/phishing infrastructure domain
TRN01275,ipv4,198.51.100.176,Possible C2 or scanning source/destination address
TRN01275,domain,node-1275-sync.example,Possible C2/phishing infrastructure domain
TRN01278,ipv4,198.51.100.179,Possible C2 or scanning source/destination address
TRN01278,domain,node-1278-sync.example,Possible C2/phishing infrastructure domain
TRN01284,ipv4,198.51.100.185,Possible C2 or scanning source/destination address
TRN01284,domain,node-1284-sync.example,Possible C2/phishing infrastructure domain
TRN01285,ipv4,198.51.100.186,Possible C2 or scanning source/destination address
TRN01285,domain,node-1285-sync.example,Possible C2/phishing infrastructure domain
TRN01285,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN01290,ipv4,198.51.100.191,Possible C2 or scanning source/destination address
TRN01290,domain,node-1290-sync.example,Possible C2/phishing infrastructure domain
TRN01290,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN01291,ipv4,198.51.100.192,Possible C2 or scanning source/destination address
TRN01291,domain,node-1291-sync.example,Possible C2/phishing infrastructure domain
TRN01297,ipv4,198.51.100.198,Possible C2 or scanning source/destination address
TRN01297,domain,node-1297-sync.example,Possible C2/phishing infrastructure domain
TRN01303,ipv4,198.51.100.204,Possible C2 or scanning source/destination address
TRN01303,domain,node-1303-sync.example,Possible C2/phishing infrastructure domain
TRN01303,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN01306,ipv4,198.51.100.207,Possible C2 or scanning source/destination address
TRN01306,domain,node-1306-sync.example,Possible C2/phishing infrastructure domain
TRN01310,ipv4,198.51.100.211,Possible C2 or scanning source/destination address
TRN01310,domain,node-1310-sync.example,Possible C2/phishing infrastructure domain
TRN01314,ipv4,198.51.100.215,Possible C2 or scanning source/destination address
TRN01314,domain,node-1314-sync.example,Possible C2/phishing infrastructure domain
TRN01315,ipv4,198.51.100.216,Possible C2 or scanning source/destination address
TRN01315,domain,node-1315-sync.example,Possible C2/phishing infrastructure domain
TRN01321,ipv4,198.51.100.2,Possible C2 or scanning source/destination address
TRN01321,domain,node-1321-sync.example,Possible C2/phishing infrastructure domain
TRN01323,ipv4,198.51.100.4,Possible C2 or scanning source/destination address
TRN01323,domain,node-1323-sync.example,Possible C2/phishing infrastructure domain
TRN01323,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN01325,ipv4,198.51.100.6,Possible C2 or scanning source/destination address
TRN01325,domain,node-1325-sync.example,Possible C2/phishing infrastructure domain
TRN01326,ipv4,198.51.100.7,Possible C2 or scanning source/destination address
TRN01326,domain,node-1326-sync.example,Possible C2/phishing infrastructure domain
TRN01328,ipv4,198.51.100.9,Possible C2 or scanning source/destination address
TRN01328,domain,node-1328-sync.example,Possible C2/phishing infrastructure domain
TRN01331,ipv4,198.51.100.12,Possible C2 or scanning source/destination address
TRN01331,domain,node-1331-sync.example,Possible C2/phishing infrastructure domain
TRN01331,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN01332,ipv4,198.51.100.13,Possible C2 or scanning source/destination address
TRN01332,domain,node-1332-sync.example,Possible C2/phishing infrastructure domain
TRN01332,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN01333,ipv4,198.51.100.14,Possible C2 or scanning source/destination address
TRN01333,domain,node-1333-sync.example,Possible C2/phishing infrastructure domain
TRN01334,ipv4,198.51.100.15,Possible C2 or scanning source/destination address
TRN01334,domain,node-1334-sync.example,Possible C2/phishing infrastructure domain
TRN01335,ipv4,198.51.100.16,Possible C2 or scanning source/destination address
TRN01335,domain,node-1335-sync.example,Possible C2/phishing infrastructure domain
TRN01336,ipv4,198.51.100.17,Possible C2 or scanning source/destination address
TRN01336,domain,node-1336-sync.example,Possible C2/phishing infrastructure domain
TRN01340,ipv4,198.51.100.21,Possible C2 or scanning source/destination address
TRN01340,domain,node-1340-sync.example,Possible C2/phishing infrastructure domain
TRN01340,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN01346,ipv4,198.51.100.27,Possible C2 or scanning source/destination address
TRN01346,domain,node-1346-sync.example,Possible C2/phishing infrastructure domain
TRN01347,ipv4,198.51.100.28,Possible C2 or scanning source/destination address
TRN01347,domain,node-1347-sync.example,Possible C2/phishing infrastructure domain
TRN01348,ipv4,198.51.100.29,Possible C2 or scanning source/destination address
TRN01348,domain,node-1348-sync.example,Possible C2/phishing infrastructure domain
TRN01349,ipv4,198.51.100.30,Possible C2 or scanning source/destination address
TRN01349,domain,node-1349-sync.example,Possible C2/phishing infrastructure domain
TRN01349,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN01350,ipv4,198.51.100.31,Possible C2 or scanning source/destination address
TRN01350,domain,node-1350-sync.example,Possible C2/phishing infrastructure domain
TRN01353,ipv4,198.51.100.34,Possible C2 or scanning source/destination address
TRN01353,domain,node-1353-sync.example,Possible C2/phishing infrastructure domain
TRN01357,ipv4,198.51.100.38,Possible C2 or scanning source/destination address
TRN01357,domain,node-1357-sync.example,Possible C2/phishing infrastructure domain
TRN01359,ipv4,198.51.100.40,Possible C2 or scanning source/destination address
TRN01359,domain,node-1359-sync.example,Possible C2/phishing infrastructure domain
TRN01361,ipv4,198.51.100.42,Possible C2 or scanning source/destination address
TRN01361,domain,node-1361-sync.example,Possible C2/phishing infrastructure domain
TRN01363,ipv4,198.51.100.44,Possible C2 or scanning source/destination address
TRN01363,domain,node-1363-sync.example,Possible C2/phishing infrastructure domain
TRN01363,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN01371,ipv4,198.51.100.52,Possible C2 or scanning source/destination address
TRN01371,domain,node-1371-sync.example,Possible C2/phishing infrastructure domain
TRN01373,ipv4,198.51.100.54,Possible C2 or scanning source/destination address
TRN01373,domain,node-1373-sync.example,Possible C2/phishing infrastructure domain
TRN01373,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN01378,ipv4,198.51.100.59,Possible C2 or scanning source/destination address
TRN01378,domain,node-1378-sync.example,Possible C2/phishing infrastructure domain
TRN01382,ipv4,198.51.100.63,Possible C2 or scanning source/destination address
TRN01382,domain,node-1382-sync.example,Possible C2/phishing infrastructure domain
TRN01383,ipv4,198.51.100.64,Possible C2 or scanning source/destination address
TRN01383,domain,node-1383-sync.example,Possible C2/phishing infrastructure domain
TRN01386,ipv4,198.51.100.67,Possible C2 or scanning source/destination address
TRN01386,domain,node-1386-sync.example,Possible C2/phishing infrastructure domain
TRN01386,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN01386,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN01395,ipv4,198.51.100.76,Possible C2 or scanning source/destination address
TRN01395,domain,node-1395-sync.example,Possible C2/phishing infrastructure domain
TRN01402,ipv4,198.51.100.83,Possible C2 or scanning source/destination address
TRN01402,domain,node-1402-sync.example,Possible C2/phishing infrastructure domain
TRN01403,ipv4,198.51.100.84,Possible C2 or scanning source/destination address
TRN01403,domain,node-1403-sync.example,Possible C2/phishing infrastructure domain
TRN01408,ipv4,198.51.100.89,Possible C2 or scanning source/destination address
TRN01408,domain,node-1408-sync.example,Possible C2/phishing infrastructure domain
TRN01409,ipv4,198.51.100.90,Possible C2 or scanning source/destination address
TRN01409,domain,node-1409-sync.example,Possible C2/phishing infrastructure domain
TRN01409,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN01410,ipv4,198.51.100.91,Possible C2 or scanning source/destination address
TRN01410,domain,node-1410-sync.example,Possible C2/phishing infrastructure domain
TRN01411,ipv4,198.51.100.92,Possible C2 or scanning source/destination address
TRN01411,domain,node-1411-sync.example,Possible C2/phishing infrastructure domain
TRN01411,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN01412,ipv4,198.51.100.93,Possible C2 or scanning source/destination address
TRN01412,domain,node-1412-sync.example,Possible C2/phishing infrastructure domain
TRN01415,ipv4,198.51.100.96,Possible C2 or scanning source/destination address
TRN01415,domain,node-1415-sync.example,Possible C2/phishing infrastructure domain
TRN01417,ipv4,198.51.100.98,Possible C2 or scanning source/destination address
TRN01417,domain,node-1417-sync.example,Possible C2/phishing infrastructure domain
TRN01420,ipv4,198.51.100.101,Possible C2 or scanning source/destination address
TRN01420,domain,node-1420-sync.example,Possible C2/phishing infrastructure domain
TRN01425,ipv4,198.51.100.106,Possible C2 or scanning source/destination address
TRN01425,domain,node-1425-sync.example,Possible C2/phishing infrastructure domain
TRN01427,ipv4,198.51.100.108,Possible C2 or scanning source/destination address
TRN01427,domain,node-1427-sync.example,Possible C2/phishing infrastructure domain
TRN01429,ipv4,198.51.100.110,Possible C2 or scanning source/destination address
TRN01429,domain,node-1429-sync.example,Possible C2/phishing infrastructure domain
TRN01430,ipv4,198.51.100.111,Possible C2 or scanning source/destination address
TRN01430,domain,node-1430-sync.example,Possible C2/phishing infrastructure domain
TRN01430,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN01431,ipv4,198.51.100.112,Possible C2 or scanning source/destination address
TRN01431,domain,node-1431-sync.example,Possible C2/phishing infrastructure domain
TRN01431,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN01431,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN01434,ipv4,198.51.100.115,Possible C2 or scanning source/destination address
TRN01434,domain,node-1434-sync.example,Possible C2/phishing infrastructure domain
TRN01434,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN01435,ipv4,198.51.100.116,Possible C2 or scanning source/destination address
TRN01435,domain,node-1435-sync.example,Possible C2/phishing infrastructure domain
TRN01437,ipv4,198.51.100.118,Possible C2 or scanning source/destination address
TRN01437,domain,node-1437-sync.example,Possible C2/phishing infrastructure domain
TRN01440,ipv4,198.51.100.121,Possible C2 or scanning source/destination address
TRN01440,domain,node-1440-sync.example,Possible C2/phishing infrastructure domain
TRN01447,ipv4,198.51.100.128,Possible C2 or scanning source/destination address
TRN01447,domain,node-1447-sync.example,Possible C2/phishing infrastructure domain
TRN01450,ipv4,198.51.100.131,Possible C2 or scanning source/destination address
TRN01450,domain,node-1450-sync.example,Possible C2/phishing infrastructure domain
TRN01451,ipv4,198.51.100.132,Possible C2 or scanning source/destination address
TRN01451,domain,node-1451-sync.example,Possible C2/phishing infrastructure domain
TRN01451,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN01452,ipv4,198.51.100.133,Possible C2 or scanning source/destination address
TRN01452,domain,node-1452-sync.example,Possible C2/phishing infrastructure domain
TRN01455,ipv4,198.51.100.136,Possible C2 or scanning source/destination address
TRN01455,domain,node-1455-sync.example,Possible C2/phishing infrastructure domain
TRN01455,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
